x_m,y_m,z_m,depth_m,azn_deg,dip_deg,app_m,type
23.27981397,21.17968407,-8.305043283,32.55,237.85,47.24,0,2
23.29411801,21.1926977,-8.310146228,32.57,230.68,43.11,0,2
23.30842204,21.20571133,-8.315249173,32.59,239.67,44.38,0,2
23.43000632,21.3163272,-8.358624207,32.76,257.69,54.56,0,2
23.45861439,21.34235446,-8.368830097,32.8,347.1,74.23,0,2
23.50152649,21.38139535,-8.384138933,32.86,253.75,56.17,0,-1
23.57304665,21.4464635,-8.409653659,32.96,239.33,50.83,0,2
23.5945027,21.46598395,-8.417308077,32.99,230.2,44.15,0,2
23.62311077,21.49201121,-8.427513967,33.03,247.96,54.09,0,2
23.70178295,21.56358618,-8.455580165,33.14,253.7,53.38,0,2
23.70893497,21.570093,-8.458131638,33.15,245.17,52.24,0,2
23.723239,21.58310663,-8.463234583,33.17,346.86,75.23,0,2
23.73754303,21.59612026,-8.468337528,33.19,256.59,53.67,0,2
23.7661511,21.62214752,-8.478543419,33.23,250.45,52.19,0,2
23.77330312,21.62865433,-8.481094891,33.24,243.3,53.95,0,2
23.8090632,21.66118841,-8.493852254,33.29,230.1,45.38,0,2
23.83767127,21.68721567,-8.504058145,33.33,113.59,89.38,0,2
23.8519753,21.7002293,-8.50916109,33.35,197.09,51.1,0,2
23.85912732,21.70673612,-8.511712562,33.36,252.11,54.47,0,2
23.93064748,21.77180427,-8.537227288,33.46,30.62,48.78,0,2
23.9807116,21.81735198,-8.555087596,33.53,252.3,53.28,0,2
23.99501563,21.83036561,-8.560190542,33.55,246.7,59.96,0,2
24.00216765,21.83687243,-8.562742014,33.56,244.25,60.58,0,2
24.00216765,21.83687243,-8.562742014,33.56,353.42,69.48,0,2
24.04507975,21.87591332,-8.57805085,33.62,18.06,56.03,0,2
24.0665358,21.89543377,-8.585705267,33.65,257.25,55.54,0,2
24.11659991,21.94098147,-8.603565576,33.72,235.34,66.67,0,2
24.13805596,21.96050192,-8.611219993,33.75,248.8,59.06,0,2
24.14520798,21.96700873,-8.613771466,33.76,248.61,57.3,0,2
24.17381605,21.993036,-8.623977356,33.8,252.75,63.13,0,2
24.1952721,22.01255644,-8.631631774,33.83,247.95,57.92,0,2
24.1952721,22.01255644,-8.631631774,33.83,194.16,48.49,0,2
24.29540033,22.10365186,-8.66735239,33.97,252.6,59.43,0,2
24.33116041,22.13618593,-8.680109753,34.02,142.56,57.46,0,2
24.36692049,22.16872001,-8.692867116,34.07,247.07,48.67,0,2
24.45274469,22.2468018,-8.723484787,34.19,250.63,48.36,0,2
24.48135276,22.27282906,-8.733690678,34.23,11.2,61.07,0,2
24.50280881,22.2923495,-8.741345096,34.26,246.91,48.88,0,2
24.56717696,22.35091084,-8.764308349,34.35,226.24,42.73,0,2
24.61724107,22.39645855,-8.782168657,34.42,252.41,53.37,0,2
24.65300116,22.42899263,-8.79492602,34.47,105.69,37.06,0,2
24.65300116,22.42899263,-8.79492602,34.47,246.73,60.77,0,2
24.67445721,22.44851307,-8.802580438,34.5,242.29,47.81,0,2
24.67445721,22.44851307,-8.802580438,34.5,255.34,66.5,0,2
24.71021729,22.48104715,-8.815337801,34.55,251.82,70.4,0,2
24.73882536,22.50707441,-8.825543691,34.59,260.12,70.31,0,2
24.81749754,22.57864938,-8.85360989,34.7,191.39,41.64,0,2
24.83895359,22.59816983,-8.861264307,34.73,205.01,43.34,0,2
24.85325762,22.61118346,-8.866367252,34.75,230.29,58.83,0,2
24.85325762,22.61118346,-8.866367252,34.75,264.84,85.1,0,2
24.88186569,22.63721072,-8.876573143,34.79,250.79,57.02,0,2
24.89616972,22.65022435,-8.881676088,34.81,248.83,60.96,0,2
24.99629795,22.74131977,-8.917396704,34.95,248.43,57.7,0,2
25.00344997,22.74782658,-8.919948177,34.96,256.54,61.2,0,2
25.05351409,22.79337429,-8.937808485,35.03,244.55,50.7,0,2
25.06781812,22.80638792,-8.94291143,35.05,249.34,54.61,0,2
25.1464903,22.87796289,-8.970977629,35.16,243.42,44.97,0,2
25.1894024,22.91700378,-8.986286464,35.22,10.08,52.58,0,2
25.2323145,22.95604467,-9.0015953,35.28,252.98,42.04,0,2
25.28953063,23.0080992,-9.02200708,35.36,245.16,64.64,0,2
25.33244273,23.04714009,-9.037315916,35.42,245.81,60.65,0,2
25.3610508,23.07316735,-9.047521806,35.46,53.43,31.74,0,2
25.38965886,23.09919461,-9.057727697,35.5,249.43,58.04,0,-1
25.4039629,23.11220824,-9.062830642,35.52,15.52,59.84,0,2
25.42541895,23.13172869,-9.07048506,35.55,239.8,52.91,0,2
25.43972298,23.14474232,-9.075588005,35.57,53.72,25.92,0,2
25.47548306,23.1772764,-9.088345368,35.62,51.62,40.67,0,2
25.4897871,23.19029003,-9.093448313,35.64,257.2,61.25,0,2
25.54700323,23.24234455,-9.113860094,35.72,242.86,48.56,0,2
25.59706735,23.28789226,-9.131720402,35.79,100.41,37.11,0,2
25.60421936,23.29439907,-9.134271874,35.8,248.89,53.75,0,2
25.62567541,23.31391952,-9.141926292,35.83,247.08,68.84,0,2
25.63997945,23.32693315,-9.147029237,35.85,245.31,56.67,0,2
25.66858751,23.35296041,-9.157235128,35.89,244.52,56.08,0,2
25.79017179,23.46357627,-9.200610162,36.06,82.46,87.18,0,2
25.81162784,23.48309672,-9.20826458,36.09,10.49,59.09,0,2
25.89745204,23.5611785,-9.238882251,36.21,249.8,58.85,0,2
25.92606011,23.58720577,-9.249088141,36.25,252.27,57.23,0,2
25.94036414,23.6002194,-9.254191086,36.27,252.99,64.29,0,2
25.97612422,23.63275347,-9.266948449,36.32,256.87,73.86,0,2
26.00473229,23.65878073,-9.27715434,36.36,259.8,54.02,0,2
26.06194842,23.71083526,-9.29756612,36.44,253.81,67.45,0,2
26.13346859,23.77590341,-9.323080846,36.54,258.66,68.18,0,2
26.17638069,23.8149443,-9.338389682,36.6,235.88,46.86,0,2
26.20498876,23.84097157,-9.348595572,36.64,227.23,53.63,0,2
26.21214077,23.84747838,-9.351147045,36.65,226.62,63.41,0,2
26.26220489,23.89302609,-9.369007353,36.72,231.73,51.62,0,2
26.2693569,23.8995329,-9.371558825,36.73,24.77,83.09,0,2
26.29081295,23.91905335,-9.379213243,36.76,255.36,67.97,0,2
26.30511699,23.93206698,-9.384316188,36.78,257.94,67.39,0,2
26.31942102,23.94508061,-9.389419134,36.8,251.54,62.69,0,2
26.34802909,23.97110787,-9.399625024,36.84,255.99,68.12,0,2
26.3551811,23.97761469,-9.402176496,36.85,258.13,82.08,0,2
26.36233312,23.9841215,-9.404727969,36.86,196.16,53.82,0,2
26.45530934,24.0687101,-9.437897113,36.99,255.37,84.7,0,2
26.49106942,24.10124418,-9.450654476,37.04,258.16,81.06,0,2
26.49822143,24.107751,-9.453205948,37.05,251.67,56.99,0,2
26.5697416,24.17281915,-9.478720674,37.15,257.09,81.61,0,2
26.62695773,24.22487367,-9.499132455,37.23,248.74,54.54,0,2
26.68417387,24.2769282,-9.519544236,37.31,254.53,61.98,0,2
26.71278193,24.30295546,-9.529750126,37.35,250.7,54.83,0,2
26.74854202,24.33548953,-9.542507489,37.4,261.34,66.68,0,2
26.75569403,24.34199635,-9.545058962,37.41,44.75,37.47,0,2
26.76999807,24.35500998,-9.550161907,37.43,244.77,61.83,0,2
26.79145411,24.37453043,-9.557816325,37.46,252.15,54.55,0,2
26.84151823,24.42007813,-9.575676633,37.53,25.21,45.91,0,2
26.84867025,24.42658495,-9.578228105,37.54,254.48,67.24,0,2
26.87727831,24.45261221,-9.588433996,37.58,34.22,48.48,0,2
26.89873436,24.47213266,-9.596088413,37.61,48.18,44.77,0,2
26.92019041,24.4916531,-9.603742831,37.64,39.15,43.86,0,2
26.94879848,24.51768037,-9.613948722,37.68,244.93,49.82,0,2
26.94879848,24.51768037,-9.613948722,37.68,35.8,51.04,0,2
26.9988626,24.56322807,-9.63180903,37.75,47.29,42.51,0,2
27.00601461,24.56973489,-9.634360502,37.76,254.4,50.32,0,2
27.0417747,24.60226897,-9.647117865,37.81,242.72,80.5,0,2
27.05607873,24.6152826,-9.65222081,37.83,29.85,47.35,0,2
27.09183881,24.64781667,-9.664978173,37.88,277.76,69.65,0,2
27.12759889,24.68035075,-9.677735536,37.93,262.63,66.27,0,2
27.17051099,24.71939164,-9.693044372,37.99,262.5,83.65,0,2
27.18481503,24.73240527,-9.698147317,38.01,81.97,83.3,0,2
27.20627108,24.75192572,-9.705801735,38.04,264.46,55.87,0,2
27.20627108,24.75192572,-9.705801735,38.04,34.47,53.38,0,2
27.24203116,24.7844598,-9.718559098,38.09,247.77,54.73,0,2
27.25633519,24.79747343,-9.723662043,38.11,254.44,55.82,0,2
27.26348721,24.80398024,-9.726213515,38.12,43.12,41.37,0,2
27.27779124,24.81699387,-9.731316461,38.14,249.34,56.34,0,2
27.34215939,24.87555521,-9.754279714,38.23,255.49,74.38,0,2
27.34215939,24.87555521,-9.754279714,38.23,160.42,39.92,0,2
27.39937552,24.92760973,-9.774691495,38.31,59.27,75.28,0,2
27.41367956,24.94062337,-9.77979444,38.33,249.9,46.33,0,2
27.44228762,24.96665063,-9.79000033,38.37,244.49,49.38,0,2
27.48519972,25.00569152,-9.805309166,38.43,260.85,77.74,0,2
27.53526384,25.05123923,-9.823169474,38.5,267.23,57.88,0,2
27.57102392,25.0837733,-9.835926837,38.55,235.66,54.79,0,2
27.58532796,25.09678693,-9.841029782,38.57,31.3,61.71,0,2
27.60678401,25.11630738,-9.8486842,38.6,218.64,56.62,0,1
27.64254409,25.14884146,-9.861441563,38.65,249.27,56.86,0,2
27.67115215,25.17486872,-9.871647453,38.69,34.72,53.05,0,2
27.69976022,25.20089598,-9.881853344,38.73,197.46,54.01,0,1
27.72121627,25.22041643,-9.889507761,38.76,222.76,60.13,0,1
27.74267232,25.23993687,-9.897162179,38.79,159.63,15.24,0,1
27.7784324,25.27247095,-9.909919542,38.84,213.54,63.19,0,2
27.80704047,25.29849821,-9.920125432,38.88,90.38,78.5,0,2
27.81419249,25.30500503,-9.922676905,38.89,253.88,55.72,0,2
27.82849652,25.31801866,-9.92777985,38.91,263.25,78.69,0,2
27.82849652,25.31801866,-9.92777985,38.91,36.39,52.89,0,2
27.87856064,25.36356637,-9.945640158,38.98,255.8,49.5,0,2
27.89286467,25.37658,-9.950743103,39,41.6,46.66,0,2
27.90001668,25.38308681,-9.953294576,39.01,267.55,62.59,0,2
27.92147273,25.40260726,-9.960948994,39.04,29.79,57.04,0,2
27.92147273,25.40260726,-9.960948994,39.04,48.83,46.04,0,2
27.92862475,25.40911407,-9.963500466,39.05,269.49,57.77,0,2
27.95723282,25.43514133,-9.973706357,39.09,267.1,62.16,0,2
27.97153685,25.44815497,-9.978809302,39.11,44.87,54.51,0,2
27.97153685,25.44815497,-9.978809302,39.11,263.37,80.98,0,2
28.035905,25.5067163,-10.00177256,39.2,40.8,48.75,0,2
28.0788171,25.5457572,-10.01708139,39.26,299.55,70.02,0,2
28.18609735,25.64335943,-10.05535348,39.41,285.92,67.06,0,1
28.18609735,25.64335943,-10.05535348,39.41,54.3,82.89,0,1
28.22185743,25.6758935,-10.06811084,39.46,36.57,41.14,0,2
28.23616146,25.68890713,-10.07321379,39.48,247.05,61.98,0,2
28.24331348,25.69541395,-10.07576526,39.49,279.42,63.82,0,2
28.26476953,25.7149344,-10.08341968,39.52,242.12,49.53,0,2
28.2933776,25.74096166,-10.09362557,39.56,260.75,56.1,0,2
28.31483365,25.7604821,-10.10127999,39.59,250.34,56.35,0,-1
28.36489776,25.80602981,-10.11914029,39.66,242.51,53.96,0,2
